id,input,output,remark
18370,4Square,4स्क्वअयर,alphanum
861262,14A/2,14A/2,address
672983,-a,-अ,special
859617,20-Two,20-Two,address
414975,A1100,अ1100,alphanum
414976,A1101,अ1101,alphanum
414977,A1102,अ1102,alphanum
414978,A1103,अ1103,alphanum
414979,A1104,अ1104,alphanum
414980,A1105,अ1105,alphanum
414981,A1106,अ1106,alphanum
414983,A1108,अ1108,alphanum
414984,A1109,अ1109,alphanum
414985,A1110,अ1110,alphanum
414986,A1111,अ1111,alphanum
414987,A1112,अ1112,alphanum
414988,A1113,अ1113,alphanum
414990,A1115,अ1115,alphanum
414991,A1116,अ1116,alphanum
414992,A1117,अ1117,alphanum
414993,A1118,अ1118,alphanum
414994,A1119,अ1119,alphanum
414995,A1120,अ1120,alphanum
414997,A1122,अ1122,alphanum
414998,A1123,अ1123,alphanum
414999,A1124,अ1124,alphanum
415000,A1125,अ1125,alphanum
1371084,'a','अ',special
1605546,-South,-सअउथ,special
334822,-Tour,-टूर,special
839107,-x,-क्ष,special
864297,A-d,अ-डी,special
979627,'n,'न,special
11951,2isolutions,2िसॉलूशन्स,alphanum
1561526,360Ty,360तय,alphanum
16143,3aux,3ॉक्स,alphanum
25982,9O,9ो,alphanum
414876,A1001,अ1001,alphanum
414877,A1002,अ1002,alphanum
414878,A1003,अ1003,alphanum
414879,A1004,अ1004,alphanum
414880,A1005,अ1005,alphanum
414882,A1007,अ1007,alphanum
414883,A1008,अ1008,alphanum
414884,A1009,अ1009,alphanum
414885,A1010,अ1010,alphanum
414887,A1012,अ1012,alphanum
414888,A1013,अ1013,alphanum
414889,A1014,अ1014,alphanum
414890,A1015,अ1015,alphanum
414892,A1017,अ1017,alphanum
414893,A1018,अ1018,alphanum
414894,A1019,अ1019,alphanum
414935,A1060,अ1060,alphanum
414937,A1062,अ1062,alphanum
414938,A1063,अ1063,alphanum
414939,A1064,अ1064,alphanum
414940,A1065,अ1065,alphanum
414942,A1067,अ1067,alphanum
414943,A1068,अ1068,alphanum
414944,A1069,अ1069,alphanum
414945,A1070,अ1070,alphanum
414947,A1072,अ1072,alphanum
414948,A1073,अ1073,alphanum
414949,A1074,अ1074,alphanum
414950,A1075,अ1075,alphanum
414952,A1077,अ1077,alphanum
414953,A1078,अ1078,alphanum
414954,A1079,अ1079,alphanum
414955,A1080,अ1080,alphanum
414957,A1082,अ1082,alphanum
414958,A1083,अ1083,alphanum
414959,A1084,अ1084,alphanum
414960,A1085,अ1085,alphanum
414962,A1087,अ1087,alphanum
414963,A1088,अ1088,alphanum
414964,A1089,अ1089,alphanum
414965,A1090,अ1090,alphanum
414967,A1092,अ1092,alphanum
414968,A1093,अ1093,alphanum
414969,A1094,अ1094,alphanum
414970,A1095,अ1095,alphanum
414972,A1097,अ1097,alphanum
414973,A1098,अ1098,alphanum
414974,A1099,अ1099,alphanum
863953,4arc,4अर्च,alphanum
901431,24into7,24ईंटो7,alphanum
12315,2oorz,2ूरज़,alphanum
1391850,7db,7दब,alphanum
14740,36o,36ो,alphanum
414895,A1020,अ1020,alphanum
414896,A1021,अ1021,alphanum
414897,A1022,अ1022,alphanum
